name,website,types,address_1,address_2,address_3,address_4,neighborhood_1,neighborhood_2,neighborhood_3,neighborhood_4,phone_1,phone_2,phone_3,phone_4,instagram,facebook,description,last_verified
Araya's Place,https://www.arayasplace.com,Thai,"5240 University Way NE, Seattle, WA 98105","10246 Main St Ste C, Bellevue, WA 98004",,,U-District,Eastside,,,(206) 524-4332,(425) 454-2440,,,https://instagram.com/arayasplace,https://facebook.com/ArayasVegetarianPlace,"Classic Thai — Pad Thai, Massaman Banana Curry, Avocado Curry, Cashew Delight, and Tom Yum soups. Broad menu of curries, stir-fries, noodles, and appetizers.",2026-06-29
The Bayside Cafe,https://thebaysidecafe.com/,Café | Bar,"2913 West Marine View Dr, Everett, WA 98201",,,,Snohomish County,,,,(425) 418-0640,,,,https://instagram.com/the_bayside_cafe,https://www.facebook.com/thebaysidecafeeverett/,"100% plant-based café in historic downtown Everett. Vegan comfort food — burgers, hot dogs, sandwiches, nachos — with craft beers. Winner, Best Vegan Restaurant 2024 Best of Western Washington.",2026-06-29
Box Bar,https://boxbarseattle.com,American | Bar,"5401 California Ave SW, Seattle, WA",,,,West Seattle,,,,(206) 432-9554,,,,,,"Casual plant-based spot offering brunch, dinner, and crafted cocktails in West Seattle. 21+ only.",2026-06-29
Brown Sugar Baking Company,https://brownsugarbakingcompany.com,Bakery,"308 22nd Ave S Ste 101, Seattle, WA 98144",,,,Capitol Hill / Central District,,,,(206) 556-0749,,,,https://instagram.com/brownsugarbaking,https://facebook.com/BSBCO,"Black woman-owned vegan specialty bakery. Cinnamon buns, Pop-V-Tarts, brownies, custom event cakes. 100% peanut-free, nut-free, dairy-free, egg-free.",2026-06-29
Cafe Red,https://caferedseattle.com,Café,"7148 Martin Luther King Jr Way S, Seattle, WA 98118",,,,Rainier Valley,,,,(206) 257-1267,,,,https://instagram.com/caferedseattle,https://facebook.com/caferedseattle,"All-vegan café and coffee bar with artisanal coffees, pesto breakfast sandwiches, burritos, mac & cheese, hash browns, and sweet treats.",2026-06-29
Cafe Wylde,https://www.cafewylde.com/,Café,"2918 Hoyt Ave Suite 101, Everett, WA 98201",,,,Snohomish County,,,,(425) 374-3877,,,,https://instagram.com/cafewylde,https://www.facebook.com/CafeWylde/,"100% vegan organic café in downtown Everett. Smoothies, juices, sandwiches, tacos, burritos, grain bowls, and raw cheesecake desserts.",2026-06-29
Chu Minh Tofu & Vegan Deli,https://chuminhtofu.com,Vietnamese,"1043 S Jackson St, Seattle, WA 98104","6754 Martin Luther King Jr Way S, Seattle, WA 98118",,,Capitol Hill / Central District,Rainier Valley,,,(206) 723-6095,(206) 457-4469,,,https://instagram.com/chuminhtofu,https://facebook.com/chuminhtofu,"Vietnamese deli and tofu shop with all-you-can-eat buffet, pho, spring rolls, noodle soups, and standout sandwiches including Spicy Tofu Banh Mi.",2026-06-29
Cinnaholic,https://www.cinnaholicseattle.com/,Bakery,"816 E Pike St, Seattle, WA 98122",,,,Capitol Hill / Central District,,,,(206) 922-3253,,,,https://instagram.com/cinnaholicseattle,https://www.facebook.com/Cinnaholic.Seattle.CapitolHill/,"100% vegan cinnamon roll bakery. Customize gooey rolls with frosting flavors (cream cheese, almond, lemon, marshmallow) and toppings like cookie dough and fresh fruit. Featured on Shark Tank.",2026-06-29
Dough Joy Donuts,https://www.doughjoydonuts.com,Bakery,"4310 SW Oregon St, Seattle, WA 98116","2052 NW Market St, Seattle, WA 98107",,,West Seattle,Ballard,,,(323) 739-8112,,,,https://instagram.com/doughjoydonuts,https://facebook.com/doughjoydonuts,"Colorful vegan donut shops with creative rotating flavors, playful aesthetics, and espresso at each location. Two Seattle locations.",2026-06-29
El Borracho,https://www.elborracho.co,Mexican | Bar,"1521 1st Ave, Seattle, WA 98101",,,,Downtown / Belltown,,,,(206) 538-0144,,,,https://instagram.com/elborrachoseattle,,"Lively plant-based Mexican bar and taqueria with fully vegan tacos, burritos, nachos, and refreshing drinks near Pike Place Market. All ages before 5pm; 21+ only after 5pm.",2026-06-29
Frankie & Jo's,https://frankieandjos.com,Ice Cream,"1010 E Union St, Seattle, WA 98122","1411 NW 70th St, Seattle, WA 98117","4619 Village Terrace Dr NE, Seattle, WA 98105",,Capitol Hill / Central District,Ballard,U-District,,(206) 557-4603,(206) 257-1676,(206) 453-3135,,https://instagram.com/frankieandjos,,"Popular ice cream shop known for creamy, inventive plant-based flavors with seasonal rotations and standout flavor combinations. Three Seattle scoop shops.",2026-07-08
Georgetown Liquor Company,https://glcseattle.com,American | Bar,"5501 Airport Way S Ste B, Seattle, WA 98108",,,,Georgetown,,,,(206) 402-5367,,,,https://instagram.com/glcseattle,,"Punk-bar-meets-pub grub with all-vegan menu featuring sandwiches, wraps, tacos, burgers, nachos, and rotating brunch options alongside local brews. 21+ only.",2026-06-29
Harvest Beat,https://www.harvestbeat.com,Fine Dining,"1711 N 45th St, Seattle, WA 98103",,,,Fremont & Wallingford,,,,(206) 547-1348,,,,https://instagram.com/harvestbeat_,https://facebook.com/HarvestBeatSutra,"Seasonal fine-dining with a rotating 5-course prix-fixe tasting menu built around Pacific Northwest produce, foraged ingredients, and artful presentations. Reservations strongly recommended; single evening seating.",2026-06-29
Juicy J's Smoked Burgers,https://smokedburgers.com,American | Fast Casual,"18779 Front St NE, Poulsbo, WA 98370",,,,Kitsap Peninsula,,,,(360) 626-1934,,,,https://instagram.com/juicyjsmokedburgers,https://www.facebook.com/104159695794456,"Family-owned 100% plant-based burger shack on the Poulsbo waterfront — in-house smoked patties, Western BBQ Bacon Cheeseburger, Firehouse Burger, and chili cheese fries. Closed Mondays.",2026-07-08
Kati Vegan Thai,https://kativeganthai.com,Thai,"1190 Thomas St, Seattle, WA 98109","12540 120th Ave NE Ste 110, Kirkland, WA 98034",,,South Lake Union,Eastside,,,(206) 900-7954,(323) 989-1968,,,https://instagram.com/kativeganthai,,"Flavorful Thai kitchen known for Cauliflower Bombs, Devil Wings, Old-Style Pad Thai, Khao Soi curry, and Mango Delight dessert.",2026-06-29
Life on Mars,https://lifeonmarsseattle.com,American | Bar,"722 E Pike St, Seattle, WA 98122",,,,Capitol Hill / Central District,,,,(206) 323-9166,,,,https://instagram.com/lifeonmarsseattle,,"Trendy plant-based cocktail bar and casual restaurant with creative small plates, vinyl-themed vibe, and brunch on weekends. 21+ only.",2026-06-29
Moe Vegan,https://www.moevegan.com/,Soul Food,"23325 Pacific Hwy S, Kent, WA 98032",,,,South King County,,,,(206) 886-4471,,,,https://instagram.com/moevegan,https://www.facebook.com/100057535085849/,"Family-owned 100% vegan soul food. Bold comfort food classics reimagined plant-based, inspired by the owners' community roots. Open Thu–Sun.",2026-06-29
Nuttea,https://nuttea-seattle.com,Bubble Tea,"16180 NE 80th St Suite 100, Redmond, WA 98052",,,,Eastside,,,,(425) 305-5636,,,,https://instagram.com/nuttea_seattle,,"Taiwanese nut-mylk boba — 100% vegan milk teas made with house-ground nut mylk, nut-cream-topped teas, fruit teas, nut-mylk lattes, and vegan macarons.",2026-07-08
Pi Vegan Pizzeria,https://www.pizzapivegan.com,Pizza,"5301 Roosevelt Way NE, Seattle, WA 98105",,,,U-District,,,,(206) 343-1415,,,,https://instagram.com/pivegan,https://facebook.com/veganpizzapi,"Long-loved vegan pizzeria known for Mac & Cheese Pizza, Buffalo Chik'n Pizza, and Artichokey Hokey Pokey Pizza, plus calzones, wings, and salads.",2026-06-29
Plantiful Superfoods,https://www.plantiful.us,Café | Fast Casual,"734 12th Ave, Seattle, WA 98122","340 Westlake Ave N, Seattle, WA 98109","1405 1st Ave, Seattle, WA 98101","19723 Highway 99 Ste D, Lynnwood, WA 98036",Capitol Hill / Central District,South Lake Union,Downtown / Belltown,Snohomish County,(206) 829-6868,(206) 687-6269,(206) 567-8979,(425) 276-6999,https://instagram.com/plantifulsuperfoods,https://facebook.com/eatplantiful,"Vibrant plant-based eatery with smoothies, superfood bowls, burgers, pizzas, toasts, and acai bowls. Four locations: Capitol Hill, SLU, Downtown, and Lynnwood.",2026-06-29
Quickie Too,https://quickietoo.com,Soul Food,"1324 Martin Luther King Jr Way, Tacoma, WA 98405",,,,Tacoma / Pierce County,,,,(253) 572-4549,,,,https://instagram.com/quickietootacoma,https://www.facebook.com/Quickie-Too-210575445619965,"Tacoma's Hilltop vegan soul food institution — hearty burgers, wraps, and sandwiches plus pizza, salads, milkshakes, and sweet potato pie.",2026-07-08
Rojo's Mexican Food,https://www.rojosmexicanfood.com,Mexican,"217 James St, Seattle, WA 98104",,,,Downtown / Belltown,,,,,,,,https://instagram.com/rojosmexicanfood,,"Plant-based Mexican street food — fully vegan tacos, burritos, tortas, and quesadillas with house-made plant proteins and fresh salsas.",2026-06-29
The Sushi Samurai,https://thesushisamurai.com,Sushi,"1817 Queen Anne Ave N, Seattle, WA 98109",,,,Downtown / Belltown,,,,(206) 766-0298,,,,https://instagram.com/the.sushi.samurai,,"Creative plant-based sushi spot in Queen Anne offering inventive rolls, appetizers, and nigiri in a cozy setting.",2026-06-29
Three Cats Coffee,https://threecatscoffee.square.site,Café,"17410 133rd Ave NE Ste 101, Woodinville, WA 98072",,,,Eastside,,,,(360) 447-8341,,,,https://instagram.com/threecatscoffee.us,,"100% vegan coffee shop inside Woodinville Bodega — specialty lattes, breakfast burritos and sandwiches, and a rotating case of vegan pastries, scones, and macarons.",2026-07-08
Veggie Grill,https://www.veggiegrill.com,Fast Casual,"1427 4th Ave, Seattle, WA 98101","2681 NE University Village St, Seattle, WA 98105","1401 NW 46th St Suite 126, Seattle, WA 98107",,Downtown / Belltown,U-District,Ballard,,(206) 934-1144,(206) 962-5566,(206) 800-6090,,https://instagram.com/veggiegrill,https://facebook.com/veggiegrill,"Fast-casual vegan comfort food with hearty burgers, sandwiches, bowls, salads, and rotating seasonal specials. Three Seattle locations.",2026-06-29
Veggie Life,https://www.veggielifeseattle.com,Chinese,"8518 122nd Ave NE, Kirkland, WA 98033",,,,Eastside,,,,(206) 817-7467,,,,,https://www.facebook.com/profile.php?id=61576880651955,"Plant-based Chinese restaurant with Vegetarian Peking Duck, Tofu Clay Pot, Kung Pao Tofu, General Tso's Mushrooms, and traditional noodle and rice dishes.",2026-06-29
Vital Creations Vegan Bistro,https://vitalcreationsvegancafe.com,Café,"3601 Fremont Ave N Ste 207, Seattle, WA 98103",,,,Fremont & Wallingford,,,,(206) 829-9619,,,,https://instagram.com/vitalcreationsveganbistro,,Fully vegan café and bistro focused on plant-based comfort food and creative daily specials with fresh locally sourced ingredients.,2026-06-29
Yaygit,https://yaygit.com,Café,"5309 22nd Ave NW Suite D, Seattle, WA 98107",,,,Ballard,,,,,,,,https://instagram.com/yaygit,https://facebook.com/yaygit,"Vibrant plant-based café and juice bar with smoothies, cold-pressed juices, faux tuna and tempeh sandwiches, chia puddings, salads, and avocado toast.",2026-06-29
